39.65093	-79.94950
39.65091	-79.94872
39.65089	-79.94760
39.65087	-79.94658
39.65088	-79.94642
39.65085	-79.94519
39.65085	-79.94491
39.65087	-79.94472
39.65080	-79.94464
39.65075	-79.94457
39.65074	-79.94455
39.65064	-79.94438
39.65038	-79.94380
39.64984	-79.94271
39.64975	-79.94254
39.64967	-79.94239
39.64949	-79.94205
39.64942	-79.94190
39.64939	-79.94185
39.64916	-79.94205
39.64883	-79.94237
39.64827	-79.94291
39.64788	-79.94331
39.64770	-79.94347
39.64765	-79.94351
39.64760	-79.94361
39.64754	-79.94367
39.64745	-79.94376
39.64727	-79.94393
39.64709	-79.94411
39.64704	-79.94415
39.64700	-79.94419
39.64691	-79.94428
39.64648	-79.94468
39.64631	-79.94482
39.64620	-79.94492
39.64604	-79.94505
39.64591	-79.94516
39.64581	-79.94525
39.64568	-79.94538
39.64533	-79.94581
39.64518	-79.94607
39.64481	-79.94681
39.64469	-79.94701
39.64467	-79.94705
39.64458	-79.94719
39.64449	-79.94731
39.64437	-79.94741
39.64430	-79.94743
39.64422	-79.94742
39.64417	-79.94741
39.64408	-79.94739
39.64403	-79.94736
39.64374	-79.94725
39.64365	-79.94721
39.64359	-79.94719
39.64354	-79.94717
39.64344	-79.94717
39.64332	-79.94718
39.64315	-79.94729
39.64295	-79.94742
39.64283	-79.94749
39.64265	-79.94762
39.64259	-79.94764
39.64254	-79.94767
39.64228	-79.94791
39.64195	-79.94820
39.64166	-79.94850
39.64113	-79.94907
39.64097	-79.94925
39.64088	-79.94933
39.64082	-79.94938
39.64076	-79.94942
39.64072	-79.94943
39.64055	-79.94952
39.64050	-79.94954
39.64041	-79.94957
39.63989	-79.94961
39.63968	-79.94967
39.63956	-79.94971
39.63947	-79.94978
39.63933	-79.94992
39.63905	-79.95021
39.63904	-79.95023
39.63897	-79.95036
39.63886	-79.95043
39.63863	-79.95070
39.63837	-79.95101
39.63825	-79.95115
39.63820	-79.95119
39.63796	-79.95131
39.63790	-79.95137
39.63784	-79.95145
39.63770	-79.95162
39.63757	-79.95181
39.63752	-79.95188
39.63750	-79.95197
39.63748	-79.95208
39.63748	-79.95210
39.63746	-79.95224
39.63746	-79.95252
39.63745	-79.95263
39.63743	-79.95270
39.63740	-79.95284
39.63740	-79.95299
39.63729	-79.95341
39.63725	-79.95354
39.63730	-79.95355
39.63735	-79.95356
39.63738	-79.95357
39.63742	-79.95359
39.63745	-79.95362
39.63748	-79.95364
39.63748	-79.95365
39.63750	-79.95367
39.63753	-79.95373
39.63754	-79.95380
39.63755	-79.95384
39.63756	-79.95389
39.63756	-79.95394
39.63755	-79.95399
39.63755	-79.95400
39.63752	-79.95416
39.63751	-79.95423
39.63751	-79.95430
39.63750	-79.95437
39.63751	-79.95447
39.63752	-79.95452
39.63753	-79.95457
39.63754	-79.95461
39.63756	-79.95465
39.63759	-79.95471
39.63765	-79.95481
39.63775	-79.95468
39.63780	-79.95462
39.63784	-79.95456
39.63786	-79.95451
39.63790	-79.95441
39.63795	-79.95426
39.63799	-79.95404
39.63804	-79.95380
39.63806	-79.95372
39.63813	-79.95339
39.63818	-79.95324
39.63824	-79.95309
39.63829	-79.95299
39.63836	-79.95287
39.63845	-79.95272
39.63855	-79.95259
39.63866	-79.95246
39.63883	-79.95227
39.63902	-79.95206
39.63911	-79.95195
39.63940	-79.95162
39.63967	-79.95130
39.64034	-79.95062
39.64040	-79.95055
39.64046	-79.95048
39.64047	-79.95046
39.64052	-79.95043
39.64059	-79.95039
39.64071	-79.95033
39.64080	-79.95032
39.64090	-79.95032
39.64134	-79.95031
39.64166	-79.95029
39.64190	-79.95027
39.64223	-79.95026
39.64250	-79.95025
39.64259	-79.95025
39.64267	-79.95024
39.64286	-79.95025
39.64292	-79.95026
39.64296	-79.95028
39.64302	-79.95032
39.64310	-79.95038
39.64318	-79.95044
39.64330	-79.95053
39.64374	-79.95089
39.64385	-79.95099
39.64419	-79.95124
39.64428	-79.95131
39.64445	-79.95143
39.64460	-79.95155
39.64472	-79.95165
39.64482	-79.95175
39.64490	-79.95190
39.64499	-79.95209
39.64519	-79.95251
39.64527	-79.95265
39.64533	-79.95275
39.64540	-79.95284
39.64554	-79.95295
39.64567	-79.95304
39.64580	-79.95309
39.64592	-79.95312
39.64606	-79.95313
39.64626	-79.95308
39.64684	-79.95287
39.64733	-79.95270
39.64788	-79.95249
39.64797	-79.95246
39.64803	-79.95245
39.64809	-79.95245
39.64816	-79.95244
39.64825	-79.95244
39.64840	-79.95245
39.64884	-79.95256
39.64967	-79.95274
39.64995	-79.95280
39.65100	-79.95303
39.65097	-79.95198
39.65096	-79.95141
39.65095	-79.95090
39.65094	-79.94996
39.65094	-79.94986
39.65093	-79.94955
